好的，这是您需要的各门店销售额排名分析。

## 各门店销售额排名

| 排名 | 门店名称 | 区域 | 订单数 | 销售额 |
| 50 | 长春新天地门店 | 东北 | 595 | 43,821.60 |
| 51 | 佛山太古里分店 | 华南 | 524 | 43,802.49 |
| 52 | 长沙万象店 | 华中 | 593 | 43,772.24 |
| 53 | 厦门旗舰店 | 华南 | 633 | 43,736.18 |
| 54 | 武汉大悦城店 | 华中 | 598 | 43,617.83 |
| 55 | 南京银泰门店 | 华东 | 625 | 43,468.41 |
| 56 | 宜昌万达店 | 华中 | 592 | 43,421.67 |
| 57 | 深圳万象分店 | 华南 | 571 | 43,313.92 |
| 58 | 佛山万达门店 | 华南 | 594 | 43,163.82 |
| 59 | 株洲万达门店 | 华中 | 590 | 43,117.89 |
| 60 | 拉萨大悦城分店 | 西南 | 600 | 43,108.39 |
| 61 | 成都恒隆店 | 西南 | 592 | 43,023.92 |
| 62 | 天津龙湖分店 | 华北 | 592 | 42,999.66 |
| 63 | 杭州旗舰店 | 华东 | 595 | 42,891.44 |
| 64 | 哈尔滨万象分店 | 东北 | 560 | 42,739.39 |
| 65 | 杭州万象店 | 华东 | 552 | 42,677.11 |
| 66 | 上海旗舰门店 | 华东 | 577 | 42,526.83 |
| 67 | 郑州银泰分店 | 华北 | 566 | 42,446.39 |
| 68 | 宜昌万象店 | 华中 | 590 | 42,258.47 |
| 69 | 天津旗舰店 | 华北 | 552 | 42,120.74 |
| 70 | 佛山万象店 | 华南 | 575 | 42,117.61 |
| 71 | 广州旗舰门店 | 华南 | 571 | 42,020.54 |
| 72 | 天津银泰店 | 华北 | 591 | 41,901.71 |
| 73 | 重庆旗舰分店 | 西南 | 566 | 41,884.74 |
| 74 | 合肥旗舰店 | 华东 | 586 | 41,801.42 |
| 75 | 南宁龙湖门店 | 华南 | 542 | 41,521.86 |
| 76 | 广州旗舰门店（a店） | 华南 | 561 | 41,441.71 |
| 77 | 兰州旗舰分店 | 西北 | 580 | 41,361.18 |
| 78 | 吉林中心分店 | 东北 | 570 | 41,233.24 |
| 79 | 北京旗舰门店 | 华北 | 572 | 41,231.40 |
| 80 | 合肥旗舰门店 | 华东 | 576 | 41,184.07 |
| 81 | 上海新天地店 | 华东 | 575 | 41,035.19 |
| 82 | 咸阳龙湖门店 | 西北 | 575 | 41,028.78 |
| 83 | 武汉龙湖分店 | 华中 | 567 | 40,941.71 |
| 84 | 乌鲁木齐大悦城分店 | 西北 | 613 | 40,679.09 |
| 85 | 无锡中心店 | 华东 | 559 | 40,655.51 |
| 86 | 大连龙湖分店 | 东北 | 548 | 40,637.14 |
| 87 | 厦门旗舰店（a店） | 华南 | 573 | 40,452.91 |
| 88 | 杭州银泰分店 | 华东 | 573 | 40,356.09 |
| 89 | 无锡中心店（a店） | 华东 | 550 | 40,336.89 |
| 90 | 合肥新天地分店 | 华东 | 553 | 40,276.34 |
| 91 | 太原新天地店 | 华北 | 538 | 40,074.45 |
| 92 | 武汉旗舰门店 | 华中 | 537 | 37,408.42 |
| 93 | 无锡大悦城店 | 华东 | 549 | 37,129.14 |
| 94 | 海口大悦城店 | 华南 | 507 | 35,151.89 |

### 关键洞察

1.  **头部集中度**：销售额排名前三的门店（厦门太古里分店、郑州旗舰店、咸阳龙湖店）合计贡献了约14.9万元，占94家门店总销售额的约3.5%，占比不高，销售相对分散。
2.  **首尾差距**：第一名厦门太古里分店（50,922.56元）与最后一名海口大悦城店（35,151.89元）之间的销售额差距约15,770元，头部门店销售额比尾部高出约45%。
3.  **分布特征**：94家门店销售额分布阶梯状明显。从头部到中部（排名约50之前）销售额从5万元缓降至约4.3万元；从排名50到末尾，则从4.3万元迅速下滑至3.5万元。末尾3家门店（武汉旗舰门店、无锡大悦城店、海口大悦城店）销售额显著低于其余门店，是明显的异常低值。

### 可选行动建议

- **针对[海口大悦城店、无锡大悦城店、武汉旗舰门店]**：重点跟进其低销售额根因，可从客流量、商品结构、促销活动或门店运营等方面进行诊断。

[CHART:bar|%7B%22type%22%3A%20%22bar%22%2C%20%22title%22%3A%20%22%E5%8C%BA%E5%9F%9F%E9%94%80%E5%94%AE%E9%A2%9D%E6%8E%92%E5%90%8D%22%2C%20%22x_data%22%3A%20%5B%22%E5%8D%8E%E5%8D%97%22%2C%20%22%E5%8D%8E%E5%8C%97%22%2C%20%22%E8%A5%BF%E5%8C%97%22%2C%20%22%E5%8D%8E%E5%8D%97%22%2C%20%22%E5%8D%8E%E5%8D%97%22%2C%20%22%E5%8D%8E%E4%B8%AD%22%2C%20%22%E5%8D%8E%E5%8C%97%22%2C%20%22%E5%8D%8E%E4%B8%9C%22%2C%20%22%E8%A5%BF%E5%8D%97%22%2C%20%22%E5%8D%8E%E4%B8%AD%22%2C%20%22%E8%A5%BF%E5%8D%97%22%2C%20%22%E5%8D%8E%E5%8C%97%22%2C%20%22%E5%8D%8E%E4%B8%9C%22%2C%20%22%E5%8D%8E%E4%B8%AD%22%2C%20%22%E5%8D%8E%E4%B8%9C%22%2C%20%22%E5%8D%8E%E4%B8%9C%22%2C%20%22%E5%8D%8E%E5%8D%97%22%2C%20%22%E5%8D%8E%E5%8C%97%22%2C%20%22%E8%A5%BF%E5%8D%97%22%2C%20%22%E5%8D%8E%E5%8D%97%22%5D%2C%20%22series%22%3A%20%5B%7B%22name%22%3A%20%22%E9%94%80%E5%94%AE%E9%A2%9D%22%2C%20%22data%22%3A%20%5B50922.56%2C%2049771.24%2C%2048830.19%2C%2048395.55%2C%2048216.16%2C%2047945.5%2C%2047677.75%2C%2047430.53%2C%2047406.69%2C%2047396.62%2C%2047183.31%2C%2046752.63%2C%2046714.7%2C%2046678.94%2C%2046637.6%2C%2046591.33%2C%2046503.28%2C%2046389.43%2C%2046385.65%2C%2046216.96%5D%7D%5D%2C%20%22height%22%3A%20500%2C%20%22note%22%3A%20%22%E6%95%B0%E6%8D%AE%E6%9D%A5%E6%BA%90%EF%BC%9A%E5%88%86%E6%9E%90%E7%BB%93%E6%9E%9C%E8%87%AA%E5%8A%A8%E6%8F%90%E5%8F%96%22%7D]
